name,handedness,height,weight,avg,HR,count
Ken Retzer,L,72,185,0.264,14,1
Mike Brown,R,74,195,0.265,23,1
Mike Brown,R,74,195,0,0,1
Greg Walker,L,75,205,0.26,113,1
Terry Harper,R,76,195,0.253,36,1
Jerry Royster,R,72,165,0.249,40,1
Steve Davis,L,73,195,0,0,1
Jeff Rineer,L,76,205,0,0,1
Barry Bonnell,R,75,190,0.272,56,1
Tom Seaver,R,73,195,0.154,12,1
Jerry Martin,R,73,195,0.251,85,1
Bill Stein,R,70,170,0.267,44,1
Joel Youngblood,R,72,180,0.265,80,1
Reggie Jackson,L,72,195,0.262,563,1
Sonny Jackson,L,69,150,0.251,7,1
Mark Mercer,L,77,220,0,0,1
Rodney Scott,B,72,160,0.236,3,1
Rich Coggins,L,68,170,0.265,12,1
Phil Gagliano,R,73,180,0.238,14,1
Jerry McNertney,R,72,180,0.237,27,1
Mitchell Page,L,74,205,0.266,72,1
Kiko Garcia,R,71,180,0.239,12,1
Larry Milbourne,B,72,161,0.254,11,1
Bill Sudakis,B,73,190,0.234,59,1
John Caneira,R,75,180,0,0,1
Domingo Ramos,R,70,154,0.24,8,1
Ron Oester,B,74,185,0.265,42,1
Glenn Adams,L,73,180,0.28,34,1
Clint Zavaras,R,73,175,0,0,1
Joe Morgan,L,67,160,0.271,268,1
R.J. Reynolds,B,72,190,0.267,35,1
Mike Parrott,R,76,210,0,0,1
Lee Thomas,L,74,195,0.255,106,1
Ray Fosse,R,74,215,0.256,61,1
Paul Popovich,B,72,175,0.233,14,1
John Stephenson,L,71,180,0.216,12,1
Doug Clemens,L,72,180,0.229,12,1
Luis Aponte,R,72,185,0,0,1
Orlando Mercado,R,72,180,0.199,7,1
Charley Smith,R,73,170,0.239,69,1
Paul Boris,R,74,200,0,0,1
Buddy Biancalana,B,71,160,0.205,6,1
De Wayne Buice,R,72,170,0,0,1
Bob Uecker,R,73,190,0.2,14,1
Felix Torres,R,71,165,0.254,27,1
Steve Braun,L,70,180,0.271,52,1
Ray Knight,R,73,185,0.271,84,1
Ty Cline,L,72,170,0.238,6,1
Thad Bosley,L,75,175,0.272,20,1
Bobby Grich,R,74,180,0.266,224,1
Jimmie Hall,L,72,175,0.254,121,1
John Boccabella,R,73,195,0.219,26,1
Brock Davis,L,70,160,0.26,1,1
Mark Esser,R,73,190,0,0,1
Curt Blefary,L,74,195,0.237,112,1
Daryl Smith,R,76,185,0,0,1
Dave Smith,R,73,190,0,0,1
Mack Jones,L,73,180,0.252,133,1
Buddy Bradford,R,71,170,0.226,52,1
Hosken Powell,L,73,175,0.259,17,1
Dave Stapleton,L,73,185,0,0,1
Dave Stapleton,R,73,178,0.271,41,1
Gary Ward,R,74,195,0.276,130,1
Jim Lonborg,R,77,200,0.136,3,1
Joe Lis,R,72,175,0.233,32,1
Dan Meyer,L,71,180,0.253,86,1
Jim Holt,L,72,180,0.265,19,1
Tom Klawitter,R,74,190,0,0,1
Larry Herndon,R,75,190,0.274,107,1
Gary Christenson,L,77,200,0,0,1
Jim Wright,R,77,205,0,0,1
Jim Wright,R,73,165,0,0,1
Wallace Johnson,B,72,173,0.255,5,1
Mike Kinnunen,L,73,185,0,0,1
Eddie Leon,R,72,170,0.236,24,1
Dave Rajsich,L,77,175,0,0,1
Jim Wohlford,R,71,175,0.26,21,1
J.R. Richard,R,80,222,0.168,10,1
Bill Voss,L,74,160,0.227,19,1
Keith Moreland,R,72,190,0.279,121,1
Ramon Pena,R,70,155,0,0,1
Alex Johnson,R,72,205,0.288,78,1
Wayne Krenchicki,L,73,180,0.266,15,1
Chico Escarrega,R,71,185,0,0,1
Dave Rosello,R,71,160,0.236,10,1
Cardell Camper,R,75,208,0,0,1
Paul Schaal,R,71,165,0.244,57,1
Tito Landrum,R,71,175,0.249,13,1
Dave Edwards,R,72,170,0.237,14,1
Mario Guerrero,R,70,155,0.257,7,1
Tom Tresh,B,73,180,0.245,153,1
Mike Overy,R,74,190,0,0,1
Ron Roenicke,B,72,180,0.238,17,1
Doug Griffin,R,72,160,0.245,7,1
Steve Blass,R,72,165,0.172,1,1
Johnnie LeMaster,R,74,165,0.222,22,1
Craig Chamberlain,R,73,190,0,0,1
Nate Oliver,R,70,160,0.226,2,1
Ray Sadecki,L,71,180,0.191,5,1
Ken Rudolph,R,73,180,0.213,6,1
Wayne Nordhagen,R,74,205,0.282,39,1
Biff Pocoroba,B,70,175,0.257,21,1
Len Matuszek,L,74,190,0.234,30,1
Frank Eufemia,R,71,185,0,0,1
Joe Lefebvre,L,70,170,0.258,31,1
Jim Maloney,L,74,190,0.201,7,1
Andre Robertson,R,70,155,0.251,5,1
Jerry Zimmerman,R,74,185,0.204,3,1
Jack Lazorko,R,71,200,0,0,1
Mike Paxton,R,71,190,0,0,1
Chet Lemon,R,72,190,0.273,215,1
Rickey Keeton,R,74,190,0,0,1
Phil Mankowski,L,72,180,0.264,8,1
Cleon Jones,R,72,185,0.281,93,1
Joaquin Andujar,B,72,170,0.127,5,1
Mike Lum,L,72,180,0.247,90,1
Johnny Grubb,L,75,175,0.278,99,1
Curt Motton,R,68,164,0.213,25,1
Johnny Bench,R,73,197,0.267,389,1
Dale Berra,R,72,180,0.236,49,1
Terry Felton,R,73,180,0,0,1
Bob Meacham,B,73,175,0.236,8,1
Mark Clear,R,76,200,0,0,1
Carl Warwick,R,70,170,0.248,31,1
Sam Bowens,R,73,188,0.223,45,1
George Wright,B,71,180,0.245,42,1
Luis Aguayo,R,69,173,0.236,37,1
Hal Lanier,R,74,180,0.228,8,1
Mike Pazik,L,74,195,0,0,1
Len Randle,B,70,169,0.257,27,1
Greg Pryor,R,72,180,0.25,14,1
Jim Traber,L,72,194,0.227,27,1
Dave Nelson,R,70,160,0.244,20,1
Lynn Jones,R,69,175,0.252,7,1
Bryan Little,B,70,160,0.245,3,1
Ken Suarez,R,69,175,0.227,5,1
Rick Peters,B,69,170,0.277,2,1
Ron Stone,L,74,185,0.241,6,1
Rich Barnes,R,76,186,0,0,1
Tommie Agee,R,71,195,0.255,130,1
Bob Bailey,R,73,180,0.257,189,1
Cap Peterson,R,74,195,0.23,19,1
Ted Uhlaender,L,74,190,0.263,36,1
Ted Simmons,B,71,193,0.285,248,1
Bobby Murcer,L,71,160,0.277,252,1
Dick Tracewski,R,71,160,0.213,8,1
Dave Frost,R,78,235,0,0,1
Mark Souza,L,72,180,0,0,1
Bill Nahorodny,R,74,200,0.241,25,1
Bill Madlock,R,71,180,0.305,163,1
Bob Boone,R,74,195,0.254,105,1
Rick Jones,L,77,190,0,0,1
Steve Kemp,L,72,195,0.278,130,1
Rick Burleson,R,70,165,0.273,50,1
Jim Dorsey,R,79,190,0,0,1
Mark Ciardi,R,72,180,0,0,1
Dennis Burtt,R,72,180,0,0,1
Carl Taylor,R,74,200,0.266,10,1
Terry Harmon,R,74,180,0.233,4,1
Mike Hargrove,L,72,195,0.29,80,1
Rich Yett,R,74,187,0,0,1
Steve Hovley,L,70,188,0.258,8,1
Don Leppert,R,74,220,0.229,15,1
Matt Williams,R,73,200,0,0,1
Jim Burton,R,75,195,0,0,1
Rick Anderson,R,74,210,0,0,1
Charlie Mitchell,R,75,170,0,0,1
Bill Paschall,R,72,175,0,0,1
John Bohnet,B,72,175,0,0,1
Byron McLaughlin,R,73,175,0,0,1
Lee May,R,75,195,0.267,354,1
Luis Quintana,L,74,175,0,0,1
Sam McDowell,L,77,190,0.154,2,1
Rick Renick,R,72,188,0.221,20,1
Jeff Torborg,R,72,195,0.214,8,1
Dave Campbell,R,73,180,0.213,20,1
Pat Kelly,L,73,185,0.264,76,1
Al Weis,B,72,160,0.219,7,1
Jerry Turner,L,69,180,0.257,45,1
Rick Auerbach,R,72,165,0.22,9,1
Keith Macwhorter,R,76,190,0,0,1
Don Wilson,R,74,195,0.146,1,1
Jaime Cocanower,R,76,200,0,0,1
Jeff Sellers,R,73,175,0,0,1
Sandy Valdespino,L,68,170,0.23,7,1
Steve Senteney,R,74,205,0,0,1
Howard Bailey,R,72,195,0,0,1
Jeff Bettendorf,R,75,180,0,0,1
Ken Phelps,L,73,209,0.239,123,1
Cesar Cedeno,R,74,175,0.285,199,1
Bob Davidson,R,72,185,0,0,1
Phil Linz,R,73,180,0.235,11,1
Manny Mota,R,70,160,0.304,31,1
Brian Snyder,L,75,185,0,0,1
Steve Renko,R,77,230,0.215,6,1
Rick Sofield,L,73,195,0.243,9,1
Carlos Velazquez,R,71,180,0,0,1
Roger Miller,R,75,200,0,0,1
Doug DeCinces,R,74,190,0.259,237,1
John Castino,R,71,175,0.278,41,1
Dave May,L,70,186,0.251,96,1
Ron Washington,R,71,155,0.261,20,1
Billy Grabarkewitz,R,70,165,0.236,28,1
Willie Aikens,L,75,220,0.271,110,1
Earl Williams,R,75,215,0.247,138,1
Willie Mueller,R,76,220,0,0,1
John Flinn,R,72,175,0,0,1
Don Hahn,R,73,180,0.236,7,1
Todd Cruz,R,72,175,0.22,34,1
Tom Egan,R,76,218,0.2,22,1
Bob Heise,R,72,175,0.247,1,1
Tommy Harper,R,69,165,0.257,146,1
Joe Wallis,B,71,180,0.244,16,1
Max Alvis,R,71,185,0.247,111,1
Rico Carty,R,75,200,0.299,204,1
Mike Cubbage,L,72,180,0.258,34,1
Les Straker,R,73,193,0,0,1
Merritt Ranew,L,71,170,0.247,8,1
Lyman Bostock,L,73,180,0.311,23,1
Damaso Garcia,R,73,165,0.283,36,1
Don Kainer,R,75,205,0,0,1
Don Gordon,R,73,175,0,0,1
Roy Howell,L,73,190,0.261,80,1
Boog Powell,L,76,230,0.266,339,1
Sandy Wihtol,R,73,195,0,0,1
Sonny Siebert,R,75,190,0.173,12,1
Jeff Richardson,R,75,185,0,0,1
Bobby Darwin,R,74,190,0.251,83,1
Dennis DeBarr,L,74,190,0,0,1
Dan Driessen,L,71,187,0.267,153,1
Bruce Miller,R,73,185,0.246,1,1
Bob Bailor,R,71,170,0.264,9,1
Tommy Helms,R,70,165,0.269,34,1
Tony Armas,R,71,182,0.252,251,1
Willie Horton,R,71,209,0.273,325,1
Lou Piniella,R,72,182,0.291,102,1
Butch Hobson,R,73,193,0.248,98,1
John Wathan,R,74,205,0.262,21,1
Hal King,L,73,200,0.214,24,1
Mike Krukow,R,77,205,0.193,5,1
Andres Mora,R,72,180,0.223,27,1
Barry Foote,R,75,205,0.23,57,1
Ed Ott,L,70,190,0.259,33,1
Alan Wiggins,B,74,160,0.259,5,1
Ron Clark,R,70,175,0.189,5,1
Jay Pettibone,R,76,182,0,0,1
Glen Cook,R,71,180,0,0,1
Julio Gotay,R,72,180,0.26,6,1
Gary Alexander,R,74,195,0.23,55,1
Andre Thornton,R,75,200,0.254,253,1
Bob Oliver,R,75,205,0.256,94,1
Bill Castro,R,71,170,0,0,1
Ed Hodge,L,74,192,0,0,1
Tom Buskey,R,75,200,0,0,1
Bruce Taylor,R,72,178,0,0,1
Stan Thomas,R,74,185,0,0,1
Bob Robertson,R,73,195,0.242,115,1
Larry Monroe,R,76,200,0,0,1
Roger Slagle,R,75,190,0,0,1
Ollie Brown,R,74,178,0.265,102,1
Jim Campbell,L,71,175,0,0,1
Frank Quilici,R,73,170,0.214,5,1
Curt Kaufman,R,74,175,0,0,1
Joe Pepitone,L,74,185,0.258,219,1
Steve Barber,L,72,195,0.115,5,1
De Wayne Vaughn,R,71,180,0,0,1
Norm Miller,L,70,185,0.238,24,1
Bob Galasso,L,73,205,0,0,1
Rich Wortham,R,72,185,0,0,1
Bob Chance,L,74,196,0.261,24,1
Julio Cruz,B,69,165,0.237,23,1
Bill Sample,R,69,175,0.272,46,1
Juan Nieves,L,75,175,0,0,1
Mike Bacsik,R,74,180,0,0,1
Craig Kusick,R,75,210,0.235,46,1
Rudy Meoli,L,69,165,0.212,2,1
Ruppert Jones,L,70,170,0.25,147,1
Glenn Hoffman,R,73,175,0.242,23,1
Russ Gibson,R,73,195,0.228,8,1
Phil Huffman,R,74,180,0,0,1
Terry Francona,L,73,190,0.274,16,1
John Bateman,R,75,210,0.23,81,1
Luis Pujols,R,74,175,0.193,6,1
Joe Gaines,R,73,190,0.241,21,1
Doug Rader,R,74,208,0.251,155,1
Mickey Stanley,R,73,185,0.248,117,1
Steve Brown,R,77,200,0,0,1
Rick Lysander,R,74,190,0,0,1
Phil Bradley,R,72,185,0.286,78,1
Winston Llenas,R,70,165,0.23,3,1
Charlie Moore,R,71,180,0.261,36,1
Ralph Garr,L,71,185,0.306,75,1
Tommy John,R,75,180,0.157,5,1
Bruce Benedict,R,73,175,0.242,18,1
John Ellis,R,74,225,0.262,69,1
Wes Parker,B,73,180,0.267,64,1
Mel Stottlemyre,R,72,190,0,0,1
David Green,R,75,170,0.268,31,1
Reid Nichols,R,71,165,0.266,22,1
Rick Reichardt,R,75,210,0.261,116,1
Luis Tiant,R,72,180,0.164,5,1
Alex Sanchez,R,74,185,0,0,1
Broderick Perkins,L,70,180,0.271,8,1
Leon Roberts,R,75,200,0.267,78,1
Ray Burris,R,77,200,0.151,1,1
Len Gabrielson,L,76,210,0.253,37,1
Johnny Edwards,L,76,220,0.242,81,1
Paul Wilmet,R,71,170,0,0,1
Tom Grieve,R,74,190,0.249,65,1
Bruce Ellingsen,L,72,180,0,0,1
Bob Forsch,R,76,200,0.213,12,1
Gorman Heimueller,L,76,195,0,0,1
Danny Cater,R,72,170,0.276,66,1
Bill Schroeder,R,74,200,0.24,61,1
Clay Dalrymple,L,72,190,0.233,55,1
Carlos May,L,71,200,0.274,90,1
Reggie Smith,B,72,180,0.287,314,1
Ron Reed,R,78,215,0.158,0,1
Fred Howard,R,75,190,0,0,1
Davey Johnson,R,73,170,0.261,136,1
Ellis Valentine,R,76,205,0.278,123,1
Roy White,B,70,160,0.271,160,1
Mike Brumley,L,70,195,0.229,5,1
Al Luplow,L,70,175,0.235,33,1
John Hoover,R,74,190,0,0,1
Dick Allen,R,71,187,0.292,351,1
Doug Ault,R,75,200,0.236,17,1
Mark Wagner,R,72,165,0.243,3,1
Mike Walters,R,77,203,0,0,1
Willie Stargell,L,74,188,0.282,475,1
Steve Carlton,L,76,210,0.201,13,1
Jake Wood,R,73,163,0.25,35,1
Del Unser,L,73,180,0.258,87,1
Bob Brower,R,71,185,0.242,17,1
Ray Culp,R,72,200,0.123,1,1
Ivan Murrell,R,74,195,0.236,33,1
Lee Mazzilli,B,73,180,0.259,93,1
Garth Iorg,R,71,170,0.258,20,1
Alan Ashby,B,74,185,0.245,90,1
Bob Brenly,R,74,210,0.247,91,1
Ron Blomberg,L,73,195,0.293,52,1
Jim Rooker,R,72,195,0.201,7,1
Tim Blackwell,B,71,170,0.228,6,1
Colby Ward,R,74,185,0,0,1
Jerry Morales,R,70,155,0.259,95,1
Davey Lopes,R,69,170,0.263,155,1
Catfish Hunter,R,72,190,0.226,6,1
Mario Soto,R,72,174,0.132,1,1
Jimmy Wynn,R,70,160,0.25,291,1
Hank Allen,R,72,190,0.241,6,1
Jim Fregosi,R,73,190,0.265,151,1
Pepe Frias,R,70,159,0.24,1,1
Mike Schmidt,R,74,195,0.267,548,1
Willie Montanez,L,72,170,0.275,139,1
Rey Quinones,R,71,160,0.243,29,1
Mike Squires,L,71,185,0.26,6,1
Champ Summers,L,74,205,0.255,54,1
Chuck Porter,R,75,187,0,0,1
Bert Campaneris,R,70,160,0.259,79,1
Bobby Valentine,R,70,189,0.26,12,1
Rob Andrews,R,72,185,0.251,3,1
Tom Haller,L,76,195,0.257,134,1
Tom Dozier,R,74,190,0,0,1
Ed Stroud,L,71,180,0.237,14,1
Ron Swoboda,R,74,195,0.242,73,1
Harry Spilman,L,73,180,0.237,18,1
Bob Barton,R,72,175,0.226,9,1
Daryl Sconiers,L,74,185,0.265,15,1
Joe Torre,R,74,212,0.297,252,1
Al Ferrara,R,73,200,0.259,51,1
Rick Steirer,R,76,200,0,0,1
Sixto Lezcano,R,70,165,0.271,148,1
Al Lachowicz,R,75,198,0,0,1
Dave Nicholson,R,74,215,0.212,61,1
Freddie Patek,R,65,148,0.242,41,1
Ken Hubbs,R,74,175,0.247,14,1
Pepe Mangual,R,70,157,0.242,16,1
Leron Lee,L,72,196,0.25,31,1
Tom McCarthy,R,72,180,0,0,1
Steve Ontiveros,B,72,185,0.274,24,1
Willie Davis,L,74,180,0.279,182,1
Tom Lawless,R,71,170,0.207,2,1
Jerry Moses,R,75,210,0.251,25,1
Bobby Bonds,R,73,190,0.268,332,1
Dave McNally,R,71,185,0.133,9,1
Darrell Brown,B,72,184,0.274,1,1
Roy Foster,R,72,185,0.253,45,1
Denis Menke,R,72,185,0.25,101,1
Hal Breeden,R,74,200,0.243,21,1
Manny Trillo,R,73,150,0.263,61,1
Jackie Gutierrez,R,71,175,0.237,4,1
Jerry Kenney,L,73,170,0.237,7,1
Fred Kendall,R,73,185,0.234,31,1
Mike Anderson,R,74,200,0.246,28,1
Jim Lewis,R,75,190,0,0,1
Joe Charboneau,R,74,205,0.266,29,1
Jimmie Schaffer,R,69,170,0.223,11,1
Junior Kennedy,R,71,175,0.248,4,1
Wilbur Howard,B,74,170,0.25,6,1
Rod Gilbreath,R,74,180,0.248,14,1
Mark Brouhard,R,73,210,0.259,25,1
Dan Morogiello,L,73,200,0,0,1
Mike Young,B,74,195,0.247,72,1
Chris Speier,R,73,175,0.246,112,1
Gene Michael,B,74,183,0.229,15,1
Vic Harris,B,71,165,0.217,13,1
Mike Fischlin,R,73,165,0.22,3,1
Don Money,R,73,170,0.261,176,1
Joe Rudi,R,74,200,0.264,179,1
Jim Rice,R,74,200,0.298,382,1
Shawn Holman,R,74,185,0,0,1
Alan Wirth,R,76,190,0,0,1
Gil Garrido,R,69,150,0.237,1,1
Marty Perez,R,71,160,0.246,22,1
Tom Matchick,L,73,173,0.215,4,1
Jack Perconte,L,70,160,0.27,2,1
Ed Kirkpatrick,L,71,195,0.238,85,1
Jerry Grote,R,70,185,0.252,39,1
Ellie Hendricks,L,73,175,0.22,62,1
Jim Beauchamp,R,74,190,0.231,14,1
Terry Wilshusen,R,74,210,0,0,1
Tito Fuentes,B,71,175,0.268,45,1
Ron Brand,R,67,167,0.239,3,1
Leo Cardenas,R,71,150,0.257,118,1
Art Shamsky,L,73,168,0.253,68,1
Steve Ellsworth,R,80,220,0,0,1
Ron Cey,R,70,185,0.261,316,1
Skip Jutze,R,71,190,0.215,3,1
Butch Wynegar,B,73,190,0.255,65,1
Ron LeFlore,R,72,200,0.288,59,1
Bill Russell,R,72,175,0.263,46,1
Gene Tenace,R,72,190,0.241,201,1
Bubba Morton,R,70,175,0.267,14,1
Ellie Rodriguez,R,71,185,0.245,16,1
Darrel Chaney,B,74,188,0.217,14,1
Dick Nen,L,74,200,0.224,21,1
Bryan Kelly,R,74,195,0,0,1
Bill Freehan,R,75,203,0.262,200,1
Steve Nicosia,R,70,185,0.248,11,1
Ted Savage,R,73,185,0.233,34,1
Pete Mackanin,R,74,190,0.226,30,1
Rich Dauer,R,72,180,0.257,43,1
Mick Kelleher,R,69,176,0.213,0,1
Rowland Office,L,72,170,0.259,32,1
Rick Leach,L,73,180,0.268,18,1
Dwayne Murphy,L,73,185,0.246,166,1
Larry Harlow,L,74,185,0.248,12,1
Mike Epstein,L,75,230,0.244,130,1
Jerry Mumphrey,B,74,185,0.289,70,1
Don Sutton,R,73,185,0.144,0,1
Glenn Beckert,R,73,190,0.283,22,1
Ron Davis,R,72,175,0.233,10,1
Mike Shannon,R,75,195,0.255,68,1
Jason Thompson,L,76,200,0.261,208,1
Wayne Tolleson,B,69,160,0.241,9,1
John Leister,R,74,200,0,0,1
Don Cooper,R,73,185,0,0,1
Mike Jorgensen,L,72,195,0.243,95,1
Ed Romero,R,71,160,0.247,8,1
Rick Joseph,R,73,192,0.243,13,1
Cecil Cooper,L,74,165,0.298,241,1
Bill Almon,R,75,180,0.254,36,1
Joe Ferguson,R,74,200,0.24,122,1
Jeff Jones,R,75,210,0,0,1
Jerry Terrell,R,71,165,0.253,4,1
John Poloni,L,77,210,0,0,1
Dave Revering,L,76,210,0.265,62,1
Curt Ford,L,70,150,0.245,7,1
Jerry Dybzinski,R,74,180,0.234,3,1
Mike Willis,L,74,205,0,0,1
Bob Burda,L,71,174,0.224,13,1
Jesse Gonder,L,70,180,0.251,26,1
Gary Sutherland,R,72,185,0.243,24,1
Bob Coluccio,R,71,183,0.22,26,1
Dave Rader,L,71,165,0.257,30,1
Ron Gardenhire,R,72,175,0.232,4,1
Bill Sharp,L,70,178,0.255,9,1
Alan Bannister,R,71,170,0.27,19,1
Bob Watson,R,72,201,0.295,184,1
Ken Harrelson,R,74,190,0.239,131,1
Bobby Wine,R,73,187,0.215,30,1
Stefan Wever,R,80,245,0,0,1
John Kennedy,R,72,185,0.225,32,1
Chico Ruiz,B,72,169,0.24,2,1
Dave Johnson,R,73,183,0,0,1
Gail Hopkins,L,70,198,0.266,25,1
Doug Frobel,L,76,196,0.201,20,1
Luis Melendez,R,72,165,0.248,9,1
Jerry Augustine,L,72,183,0,0,1
Bill Plummer,R,73,190,0.188,14,1
Buck Rodgers,B,74,190,0.232,31,1
Phil Niekro,R,73,180,0.169,7,1
Jeff Holly,L,77,210,0,0,1
Tom Poquette,L,70,175,0.268,10,1
Eric Hetzel,R,75,175,0,0,1
Brian Asselstine,L,73,175,0.254,12,1
Rick Miller,L,72,175,0.269,28,1
Ed Charles,R,70,170,0.263,86,1
Luis Gomez,R,69,150,0.21,0,1
Dave Lemanczyk,R,76,235,0,0,1
Al Jones,R,76,210,0,0,1
Floyd Rayford,R,70,190,0.244,38,1
Sam Hinds,R,78,215,0,0,1
Tony Conigliaro,R,75,185,0.264,166,1
Clay Christiansen,R,77,205,0,0,1
Jim Barr,R,75,205,0.162,1,1
Jerry Remy,L,69,165,0.275,7,1
Larry Rothschild,L,74,180,0,0,1
Frank Duffy,R,73,180,0.232,26,1
Gary Lance,B,75,195,0,0,1
Tom O'Malley,L,72,180,0.256,13,1
Phil Garner,R,70,175,0.26,109,1
Larry Pashnick,R,75,205,0,0,1
Todd Fischer,R,70,170,0,0,1
